State,District,City,State_Encoded
Chhattisgarh,Mahasamund,Bagbahara,6
Jharkhand,Purbi Singhbhum,Bagbera,15
Karnataka,Kolar,Bagepalli,16
Uttaranchal,Bageshwar,Bageshwar,33
Rajasthan,Jhunjhunun,Baggar,28
Madhya Pradesh,Dhar,Bagh,19
Punjab,Moga,Bagha Purana,27
Meghalaya,South Garo Hills,Baghmara,22
Uttar Pradesh,Baghpat,Baghpat,32
Madhya Pradesh,Dewas,Bagli,19
West Bengal,Haora,Bagnan,34
Rajasthan,Jaipur,Bagru,28
Uttar Pradesh,Agra,Bah,32
Bihar,Kishanganj,Bahadurganj,4
Uttar Pradesh,Ghazipur,Bahadurganj,32
Haryana,Jhajjar,Bahadurgarh,12
West Bengal,Murshidabad,Baharampur,34
Assam,Tinsukia,Bahbari Gaon,3
Uttar Pradesh,Bareilly,Baheri,32
West Bengal,Medinipur,Bahirgram,34
Uttar Pradesh,Moradabad,Bahjoi,32
Uttar Pradesh,Bahraich,Bahraich,32
Uttar Pradesh,Meerut,Bahsuma,32
West Bengal,Barddhaman,Bahula,34
Uttar Pradesh,Fatehpur,Bahuwa,32
West Bengal,Hugli,Baidyabati,34
Madhya Pradesh,Balaghat,Baihar,19
Chhattisgarh,Koriya,Baikunthpur,6
Madhya Pradesh,Rewa,Baikunthpur,19
Karnataka,Belgaum,Bail Hongal,16
Mizoram,Kolasib,Bairabi,23
West Bengal,Darjiling,Bairatisal,34
Bihar,Sitamarhi,Bairgania,4
Karnataka,Dakshina Kannada,Bajala,16
Uttar Pradesh,Mathura,Bajna,32
Karnataka,Dakshina Kannada,Bajpe,16
Uttaranchal,Udham Singh Nagar,Bajpur,33
Gujarat,Vadodara,Bajva,11
Rajasthan,Jhalawar,Bakani,28
Uttar Pradesh,Etawah,Bakewar,32
Bihar,Patna,Bakhtiarpur,4
Uttar Pradesh,Mirzapur,Bakiabad,32
Himachal Pradesh,Chamba,Bakloh,13
Punjab,Nawanshahr,Balachaur,27
Madhya Pradesh,Balaghat,Balaghat,19
Orissa,Kendujhar,Balagoda (Bolani),25
Tamil Nadu,Tiruchirappalli,Balakrishnampatti,30
Tamil Nadu,Dindigul,Balakrishnapuram,30
Orissa,Balangir,Balangir,25
Tamil Nadu,Kanniyakumari,Balapallam,30
Maharashtra,Akola,Balapur,20
West Bengal,Haora,Balaram Pota,34
West Bengal,Puruliya,Balarampur,34
West Bengal,South Twentyfour Parganas,Balarampur,34
Tamil Nadu,Dindigul,Balasamudram,30
Gujarat,Kheda,Balasinor,11
Uttar Pradesh,Mathura,Baldeo,32
Madhya Pradesh,Tikamgarh,Baldeogarh,19
Orissa,Baleshwar,Baleshwar,25
Rajasthan,Pali,Bali,28
Jharkhand,Dhanbad,Baliari,15
West Bengal,Medinipur,Balichak,34
Orissa,Malkangiri,Balimela,25
Jharkhand,Hazaribag,Balkundra,15
Maharashtra,Chandrapur,Ballarpur,20
West Bengal,Barddhaman,Ballavpur,34
Uttar Pradesh,Ballia,Ballia,32
West Bengal,Haora,Bally,34
Chhattisgarh,Durg,Balod,6
Chhattisgarh,Janjgir-Champa,Baloda,6
Chhattisgarh,Raipur,Baloda Bazar,6
Rajasthan,Barmer,Balotra,28
Uttar Pradesh,Balrampur,Balrampur,32
Orissa,Khordha,Balugaon,25
West Bengal,Dakshin Dinajpur,Balurghat,34
Goa,North Goa,Bambolim,10
Madhya Pradesh,Mandla,Bamhani,19
Madhya Pradesh,Morena,Bamor,19
Madhya Pradesh,Sagar,Bamora,19
Assam,Kamrup,Bamun Sualkuchi,3
West Bengal,Hugli,Bamunari,34
Orissa,Khordha,Banapur,25
West Bengal,Jalpaiguri,Banarhat Tea Garden,34
Chhattisgarh,Raipur,Banarsi,6
Uttar Pradesh,Muzaffarnagar,Banat,32
Punjab,Patiala,Banaur,27
Uttaranchal,Champawat,Banbasa,33
Madhya Pradesh,Sagar,Banda,19
Uttar Pradesh,Banda,Banda,32
Andhra Pradesh,East Godavari,Bandarulanka,1
Jharkhand,Bokaro,Bandhgora,15
Uttaranchal,Udham Singh Nagar,Bandia,33
Rajasthan,Dausa,Bandikui,28
Jammu & Kashmir,Baramula,Bandipore,14
Goa,North Goa,Bandora,10
Punjab,Nawanshahr,Banga,27
Karnataka,Bangalore,Bangalore,16
West Bengal,North Twentyfour Parganas,Bangaon,34
Karnataka,Kolar,Bangarapet,16
Uttar Pradesh,Unnao,Bangarmau,32
Madhya Pradesh,Shahdol,Bangawan,19
Kerala,Kasaragod,Bangramanjeshwar,17
Orissa,Kendujhar,Bangura,25
Jammu & Kashmir,Doda,Banihal,14
Himachal Pradesh,Kullu,Banjar,13
Bihar,Banka,Banka,4
Karnataka,Haveri,Bankapura,16
Orissa,Cuttack,Banki,25
Uttar Pradesh,Barabanki,Banki,32
Delhi *,North West,Bankner,9
West Bengal,Haora,Bankra,34
West Bengal,Bankura,Bankura,34
Bihar,Purnia,Banmankhi Bazar,4
Karnataka,Mysore,Bannur,16
Madhya Pradesh,Damoh,Bansatar Kheda,19
West Bengal,Hugli,Bansberia,34
Uttar Pradesh,Ballia,Bansdih,32
Uttar Pradesh,Gorakhpur,Bansgaon,32
West Bengal,Barddhaman,Banshra,34
Uttar Pradesh,Siddharthnagar,Bansi,32
Rajasthan,Banswara,Banswara,28
